ranking,symbol,name,market_cap,volume_24h,volume_7d,volume_30d,price,launch_date,exchanges,min_market_cap,min_volume,volume_period,status
48,POL,POL (ex-MATIC),2143648094.0,80694653.0,0.0,0.0,0.236064,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
49,GT,Gate,2118390556.0,9141371.0,0.0,0.0,17.72,,"mexc,gate",100000000.0,10000000.0,24h,active
50,ATOM,Cosmos Hub,2116435182.0,88185827.0,0.0,0.0,4.56,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
51,VET,VeChain,2115722738.0,28676550.0,0.0,0.0,0.02459262,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
52,PENGU,Pudgy Penguins,2076675210.0,260341292.0,0.0,0.0,0.03303145,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
53,RETH,Rocket Pool ETH,2038496003.0,64676671.0,0.0,0.0,5011.07,,"mexc,gate",100000000.0,10000000.0,24h,active
54,RENDER,Render,2035217719.0,75643331.0,0.0,0.0,3.93,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
55,FTN,Fasttoken,1974020184.0,61888776.0,0.0,0.0,4.57,,"mexc,gate",100000000.0,10000000.0,24h,active
56,SEI,Sei,1935420349.0,143765843.0,0.0,0.0,0.322205,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
57,BONK,Bonk,1871131460.0,205152262.0,0.0,0.0,2.417e-05,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
58,WLD,Worldcoin,1862118870.0,122091109.0,0.0,0.0,0.989484,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
59,FET,Artificial Superintelligence Alliance,1832261528.0,60972513.0,0.0,0.0,0.702923,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
60,TRUMP,Official Trump,1827531095.0,569149816.0,0.0,0.0,9.14,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
61,JLP,Jupiter Perpetuals Liquidity Provider Token,1803484997.0,54699725.0,0.0,0.0,5.25,,"mexc,gate",100000000.0,10000000.0,24h,active
62,FLR,Flare,1767727644.0,41989523.0,0.0,0.0,0.02464263,,"mexc,gate",100000000.0,10000000.0,24h,active
63,IP,Story,1739116965.0,218948289.0,0.0,0.0,5.75,,"mexc,gate",100000000.0,10000000.0,24h,active
64,KCS,KuCoin,1732635294.0,8810720.0,0.0,0.0,13.58,,"mexc,gate",100000000.0,10000000.0,24h,active
65,FIL,Filecoin,1718702277.0,127551539.0,0.0,0.0,2.51,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
66,OSETH,StakeWise Staked ETH,1658705331.0,13805393.0,0.0,0.0,4625.0,,"mexc,gate",100000000.0,10000000.0,24h,active
67,QNT,Quant,1591541677.0,15652891.0,0.0,0.0,109.45,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
68,LBTC,Lombard Staked BTC,1590554285.0,3891015.0,0.0,0.0,117818.0,,"mexc,gate",100000000.0,10000000.0,24h,active
